seed,condition,target,audit_budget,scope,singleton,split,coalition_loss,singleton_loss,coalition_minus_singleton_loss,coalition_minus_singleton_gain,development_monotonicity_required
0,F_I,SEX,120,standard_independent,A,validation,0.665453479393302,0.6813621610127,-0.015908681619397957,0.015908681619397957,False
0,F_I,SEX,120,standard_independent,A,development_evaluation,0.6762687595639445,0.6876858035536428,-0.011417043989698339,0.011417043989698339,False
0,F_I,SEX,120,standard_independent,A,validation_person_weighted,0.6618884118152917,0.6781802480818053,-0.01629183626651365,0.01629183626651365,False
0,F_I,SEX,120,standard_independent,A,development_evaluation_person_weighted,0.6758139783984796,0.6858685135894134,-0.0100545351909338,0.0100545351909338,False
0,F_I,SEX,120,standard_independent,B,validation,0.665453479393302,0.672554793523666,-0.007101314130363967,0.007101314130363967,False
0,F_I,SEX,120,standard_independent,B,development_evaluation,0.6762687595639445,0.6880969078012455,-0.01182814823730105,0.01182814823730105,False
0,F_I,SEX,120,standard_independent,B,validation_person_weighted,0.6618884118152917,0.6694027611590001,-0.007514349343708426,0.007514349343708426,False
0,F_I,SEX,120,standard_independent,B,development_evaluation_person_weighted,0.6758139783984796,0.6887048785564566,-0.012890900157977003,0.012890900157977003,False
0,F_I,SEX,120,expanded_independent,A,validation,0.665453479393302,0.6813621610127,-0.015908681619397957,0.015908681619397957,False
0,F_I,SEX,120,expanded_independent,A,development_evaluation,0.6762687595639445,0.6876858035536428,-0.011417043989698339,0.011417043989698339,False
0,F_I,SEX,120,expanded_independent,A,validation_person_weighted,0.6618884118152917,0.6781802480818053,-0.01629183626651365,0.01629183626651365,False
0,F_I,SEX,120,expanded_independent,A,development_evaluation_person_weighted,0.6758139783984796,0.6858685135894134,-0.0100545351909338,0.0100545351909338,False
0,F_I,SEX,120,expanded_independent,B,validation,0.665453479393302,0.672554793523666,-0.007101314130363967,0.007101314130363967,False
0,F_I,SEX,120,expanded_independent,B,development_evaluation,0.6762687595639445,0.6880969078012455,-0.01182814823730105,0.01182814823730105,False
0,F_I,SEX,120,expanded_independent,B,validation_person_weighted,0.6618884118152917,0.6694027611590001,-0.007514349343708426,0.007514349343708426,False
0,F_I,SEX,120,expanded_independent,B,development_evaluation_person_weighted,0.6758139783984796,0.6887048785564566,-0.012890900157977003,0.012890900157977003,False
0,F_I,SEX,120,expanded_catchup,A,validation,0.6635229331818594,0.6813621610127,-0.017839227830840576,0.017839227830840576,False
0,F_I,SEX,120,expanded_catchup,A,development_evaluation,0.6754537767528169,0.6876858035536428,-0.012232026800825913,0.012232026800825913,False
0,F_I,SEX,120,expanded_catchup,A,validation_person_weighted,0.6619940801253944,0.6781802480818053,-0.016186167956410924,0.016186167956410924,False
0,F_I,SEX,120,expanded_catchup,A,development_evaluation_person_weighted,0.6775782788436937,0.6858685135894134,-0.00829023474571966,0.00829023474571966,False
0,F_I,SEX,120,expanded_catchup,B,validation,0.6635229331818594,0.672554793523666,-0.009031860341806586,0.009031860341806586,False
0,F_I,SEX,120,expanded_catchup,B,development_evaluation,0.6754537767528169,0.6880969078012455,-0.012643131048428624,0.012643131048428624,False
0,F_I,SEX,120,expanded_catchup,B,validation_person_weighted,0.6619940801253944,0.6694027611590001,-0.007408681033605702,0.007408681033605702,False
0,F_I,SEX,120,expanded_catchup,B,development_evaluation_person_weighted,0.6775782788436937,0.6887048785564566,-0.011126599712762864,0.011126599712762864,False
0,F_I,SEX,360,standard_independent,A,validation,0.665453479393302,0.6813621610127,-0.015908681619397957,0.015908681619397957,False
0,F_I,SEX,360,standard_independent,A,development_evaluation,0.6762687595639445,0.6876858035536428,-0.011417043989698339,0.011417043989698339,False
0,F_I,SEX,360,standard_independent,A,validation_person_weighted,0.6618884118152917,0.6781802480818053,-0.01629183626651365,0.01629183626651365,False
0,F_I,SEX,360,standard_independent,A,development_evaluation_person_weighted,0.6758139783984796,0.6858685135894134,-0.0100545351909338,0.0100545351909338,False
0,F_I,SEX,360,standard_independent,B,validation,0.665453479393302,0.672554793523666,-0.007101314130363967,0.007101314130363967,False
0,F_I,SEX,360,standard_independent,B,development_evaluation,0.6762687595639445,0.6880969078012455,-0.01182814823730105,0.01182814823730105,False
0,F_I,SEX,360,standard_independent,B,validation_person_weighted,0.6618884118152917,0.6694027611590001,-0.007514349343708426,0.007514349343708426,False
0,F_I,SEX,360,standard_independent,B,development_evaluation_person_weighted,0.6758139783984796,0.6887048785564566,-0.012890900157977003,0.012890900157977003,False
0,F_I,SEX,360,expanded_independent,A,validation,0.665453479393302,0.6813621610127,-0.015908681619397957,0.015908681619397957,False
0,F_I,SEX,360,expanded_independent,A,development_evaluation,0.6762687595639445,0.6876858035536428,-0.011417043989698339,0.011417043989698339,False
0,F_I,SEX,360,expanded_independent,A,validation_person_weighted,0.6618884118152917,0.6781802480818053,-0.01629183626651365,0.01629183626651365,False
0,F_I,SEX,360,expanded_independent,A,development_evaluation_person_weighted,0.6758139783984796,0.6858685135894134,-0.0100545351909338,0.0100545351909338,False
0,F_I,SEX,360,expanded_independent,B,validation,0.665453479393302,0.672554793523666,-0.007101314130363967,0.007101314130363967,False
0,F_I,SEX,360,expanded_independent,B,development_evaluation,0.6762687595639445,0.6880969078012455,-0.01182814823730105,0.01182814823730105,False
0,F_I,SEX,360,expanded_independent,B,validation_person_weighted,0.6618884118152917,0.6694027611590001,-0.007514349343708426,0.007514349343708426,False
0,F_I,SEX,360,expanded_independent,B,development_evaluation_person_weighted,0.6758139783984796,0.6887048785564566,-0.012890900157977003,0.012890900157977003,False
0,F_I,SEX,360,expanded_catchup,A,validation,0.6635229331818594,0.6813621610127,-0.017839227830840576,0.017839227830840576,False
0,F_I,SEX,360,expanded_catchup,A,development_evaluation,0.6754537767528169,0.6876858035536428,-0.012232026800825913,0.012232026800825913,False
0,F_I,SEX,360,expanded_catchup,A,validation_person_weighted,0.6619940801253944,0.6781802480818053,-0.016186167956410924,0.016186167956410924,False
0,F_I,SEX,360,expanded_catchup,A,development_evaluation_person_weighted,0.6775782788436937,0.6858685135894134,-0.00829023474571966,0.00829023474571966,False
0,F_I,SEX,360,expanded_catchup,B,validation,0.6635229331818594,0.672554793523666,-0.009031860341806586,0.009031860341806586,False
0,F_I,SEX,360,expanded_catchup,B,development_evaluation,0.6754537767528169,0.6880969078012455,-0.012643131048428624,0.012643131048428624,False
0,F_I,SEX,360,expanded_catchup,B,validation_person_weighted,0.6619940801253944,0.6694027611590001,-0.007408681033605702,0.007408681033605702,False
0,F_I,SEX,360,expanded_catchup,B,development_evaluation_person_weighted,0.6775782788436937,0.6887048785564566,-0.011126599712762864,0.011126599712762864,False
0,F_I,RAC1P,120,standard_independent,A,validation,1.2511755778801308,1.2629603913073528,-0.01178481342722204,0.01178481342722204,False
0,F_I,RAC1P,120,standard_independent,A,development_evaluation,1.256072933304159,1.2700868996855503,-0.014013966381391407,0.014013966381391407,False
0,F_I,RAC1P,120,standard_independent,A,validation_person_weighted,1.2521333393523777,1.2687579153445832,-0.01662457599220546,0.01662457599220546,False
0,F_I,RAC1P,120,standard_independent,A,development_evaluation_person_weighted,1.225812313396382,1.2423812026906158,-0.016568889294233724,0.016568889294233724,False
0,F_I,RAC1P,120,standard_independent,B,validation,1.2511755778801308,1.2577856993429524,-0.006610121462821583,0.006610121462821583,False
0,F_I,RAC1P,120,standard_independent,B,development_evaluation,1.256072933304159,1.2601915485481556,-0.004118615243996704,0.004118615243996704,False
