seed,condition,target,audit_budget,scope,singleton,split,coalition_loss,singleton_loss,coalition_minus_singleton_loss,coalition_minus_singleton_gain,development_monotonicity_required
0,F_T,SEX,120,expanded_catchup,A,development_evaluation,0.6627265303346884,0.6559538862890429,0.006772644045645482,-0.006772644045645482,False
0,F_T,SEX,120,expanded_catchup,A,validation_person_weighted,0.65002692538656,0.6533730217399217,-0.003346096353361694,0.003346096353361694,False
0,F_T,SEX,120,expanded_catchup,A,development_evaluation_person_weighted,0.6623661807110289,0.6510614792886563,0.01130470142237261,-0.01130470142237261,False
0,F_T,SEX,120,expanded_catchup,B,validation,0.6519445652165748,0.6561088236359504,-0.0041642584193755106,0.0041642584193755106,False
0,F_T,SEX,120,expanded_catchup,B,development_evaluation,0.6627265303346884,0.6676353328711285,-0.0049088025364401044,0.0049088025364401044,False
0,F_T,SEX,120,expanded_catchup,B,validation_person_weighted,0.65002692538656,0.6497670448142312,0.0002598805723288411,-0.0002598805723288411,False
0,F_T,SEX,120,expanded_catchup,B,development_evaluation_person_weighted,0.6623661807110289,0.6689747620110542,-0.006608581300025285,0.006608581300025285,False
0,F_T,SEX,360,standard_independent,A,validation,0.6519445652165748,0.6556763927046505,-0.0037318274880756563,0.0037318274880756563,False
0,F_T,SEX,360,standard_independent,A,development_evaluation,0.6627265303346884,0.6559538862890429,0.006772644045645482,-0.006772644045645482,False
0,F_T,SEX,360,standard_independent,A,validation_person_weighted,0.65002692538656,0.6533730217399217,-0.003346096353361694,0.003346096353361694,False
0,F_T,SEX,360,standard_independent,A,development_evaluation_person_weighted,0.6623661807110289,0.6510614792886563,0.01130470142237261,-0.01130470142237261,False
0,F_T,SEX,360,standard_independent,B,validation,0.6519445652165748,0.6561088236359504,-0.0041642584193755106,0.0041642584193755106,False
0,F_T,SEX,360,standard_independent,B,development_evaluation,0.6627265303346884,0.6676353328711285,-0.0049088025364401044,0.0049088025364401044,False
0,F_T,SEX,360,standard_independent,B,validation_person_weighted,0.65002692538656,0.6497670448142312,0.0002598805723288411,-0.0002598805723288411,False
0,F_T,SEX,360,standard_independent,B,development_evaluation_person_weighted,0.6623661807110289,0.6689747620110542,-0.006608581300025285,0.006608581300025285,False
0,F_T,SEX,360,expanded_independent,A,validation,0.6519445652165748,0.6556763927046505,-0.0037318274880756563,0.0037318274880756563,False
0,F_T,SEX,360,expanded_independent,A,development_evaluation,0.6627265303346884,0.6559538862890429,0.006772644045645482,-0.006772644045645482,False
0,F_T,SEX,360,expanded_independent,A,validation_person_weighted,0.65002692538656,0.6533730217399217,-0.003346096353361694,0.003346096353361694,False
0,F_T,SEX,360,expanded_independent,A,development_evaluation_person_weighted,0.6623661807110289,0.6510614792886563,0.01130470142237261,-0.01130470142237261,False
0,F_T,SEX,360,expanded_independent,B,validation,0.6519445652165748,0.6561088236359504,-0.0041642584193755106,0.0041642584193755106,False
0,F_T,SEX,360,expanded_independent,B,development_evaluation,0.6627265303346884,0.6676353328711285,-0.0049088025364401044,0.0049088025364401044,False
0,F_T,SEX,360,expanded_independent,B,validation_person_weighted,0.65002692538656,0.6497670448142312,0.0002598805723288411,-0.0002598805723288411,False
0,F_T,SEX,360,expanded_independent,B,development_evaluation_person_weighted,0.6623661807110289,0.6689747620110542,-0.006608581300025285,0.006608581300025285,False
0,F_T,SEX,360,expanded_catchup,A,validation,0.6519445652165748,0.6556763927046505,-0.0037318274880756563,0.0037318274880756563,False
0,F_T,SEX,360,expanded_catchup,A,development_evaluation,0.6627265303346884,0.6559538862890429,0.006772644045645482,-0.006772644045645482,False
0,F_T,SEX,360,expanded_catchup,A,validation_person_weighted,0.65002692538656,0.6533730217399217,-0.003346096353361694,0.003346096353361694,False
0,F_T,SEX,360,expanded_catchup,A,development_evaluation_person_weighted,0.6623661807110289,0.6510614792886563,0.01130470142237261,-0.01130470142237261,False
0,F_T,SEX,360,expanded_catchup,B,validation,0.6519445652165748,0.6561088236359504,-0.0041642584193755106,0.0041642584193755106,False
0,F_T,SEX,360,expanded_catchup,B,development_evaluation,0.6627265303346884,0.6676353328711285,-0.0049088025364401044,0.0049088025364401044,False
0,F_T,SEX,360,expanded_catchup,B,validation_person_weighted,0.65002692538656,0.6497670448142312,0.0002598805723288411,-0.0002598805723288411,False
0,F_T,SEX,360,expanded_catchup,B,development_evaluation_person_weighted,0.6623661807110289,0.6689747620110542,-0.006608581300025285,0.006608581300025285,False
0,F_T,RAC1P,120,standard_independent,A,validation,1.218776411161015,1.218776411161015,0.0,0.0,False
0,F_T,RAC1P,120,standard_independent,A,development_evaluation,1.210779018072694,1.210779018072694,0.0,0.0,False
0,F_T,RAC1P,120,standard_independent,A,validation_person_weighted,1.2310748535641138,1.2310748535641138,0.0,0.0,False
0,F_T,RAC1P,120,standard_independent,A,development_evaluation_person_weighted,1.192358409312805,1.192358409312805,0.0,0.0,False
0,F_T,RAC1P,120,standard_independent,B,validation,1.218776411161015,1.2331616791668694,-0.014385268005854268,0.014385268005854268,False
0,F_T,RAC1P,120,standard_independent,B,development_evaluation,1.210779018072694,1.2098640910208416,0.0009149270518524766,-0.0009149270518524766,False
0,F_T,RAC1P,120,standard_independent,B,validation_person_weighted,1.2310748535641138,1.236901831048878,-0.005826977484764129,0.005826977484764129,False
0,F_T,RAC1P,120,standard_independent,B,development_evaluation_person_weighted,1.192358409312805,1.1898975453294183,0.0024608639833867407,-0.0024608639833867407,False
0,F_T,RAC1P,120,expanded_independent,A,validation,1.218776411161015,1.218776411161015,0.0,0.0,False
0,F_T,RAC1P,120,expanded_independent,A,development_evaluation,1.210779018072694,1.210779018072694,0.0,0.0,False
0,F_T,RAC1P,120,expanded_independent,A,validation_person_weighted,1.2310748535641138,1.2310748535641138,0.0,0.0,False
0,F_T,RAC1P,120,expanded_independent,A,development_evaluation_person_weighted,1.192358409312805,1.192358409312805,0.0,0.0,False
0,F_T,RAC1P,120,expanded_independent,B,validation,1.218776411161015,1.2331616791668694,-0.014385268005854268,0.014385268005854268,False
0,F_T,RAC1P,120,expanded_independent,B,development_evaluation,1.210779018072694,1.2098640910208416,0.0009149270518524766,-0.0009149270518524766,False
0,F_T,RAC1P,120,expanded_independent,B,validation_person_weighted,1.2310748535641138,1.236901831048878,-0.005826977484764129,0.005826977484764129,False
0,F_T,RAC1P,120,expanded_independent,B,development_evaluation_person_weighted,1.192358409312805,1.1898975453294183,0.0024608639833867407,-0.0024608639833867407,False
0,F_T,RAC1P,120,expanded_catchup,A,validation,1.2171743447445744,1.2171743447445744,0.0,0.0,False
0,F_T,RAC1P,120,expanded_catchup,A,development_evaluation,1.2084023018376084,1.2084023018376084,0.0,0.0,False
0,F_T,RAC1P,120,expanded_catchup,A,validation_person_weighted,1.2312911869365677,1.2312911869365677,0.0,0.0,False
0,F_T,RAC1P,120,expanded_catchup,A,development_evaluation_person_weighted,1.188885703309314,1.188885703309314,0.0,0.0,False
