metric,condition,role,view,target,audit_budget,scope,split,n_seeds,n_defined,complete,mean,sample_sd,observed_mean,observed_sample_sd,n_present,present_scores_defined,partial_seed_summary
log_loss,F_I,utility,A,income_binary,,utility,validation,3,3,True,0.2936485954520315,0.00847202223619357,0.2936485954520315,0.00847202223619357,3,True,False
log_loss,F_I,utility,A,income_binary,,utility,development_evaluation,3,3,True,0.2928291165478421,0.010524545663979841,0.2928291165478421,0.010524545663979841,3,True,False
log_loss,F_I,utility,A,income_binary,,utility,validation_person_weighted,3,3,True,0.2908460719488914,0.021443315827109184,0.2908460719488914,0.021443315827109184,3,True,False
log_loss,F_I,utility,A,income_binary,,utility,development_evaluation_person_weighted,3,3,True,0.3039561670084042,0.00855332210554494,0.3039561670084042,0.00855332210554494,3,True,False
log_loss,F_I,utility,A,civilian_at_work,,utility,validation,3,3,True,0.2912982708707637,0.00653993538936724,0.2912982708707637,0.00653993538936724,3,True,False
log_loss,F_I,utility,A,civilian_at_work,,utility,development_evaluation,3,3,True,0.27710623447150773,0.008313001746470976,0.27710623447150773,0.008313001746470976,3,True,False
log_loss,F_I,utility,A,civilian_at_work,,utility,validation_person_weighted,3,3,True,0.2904227770195541,0.0037367833987419336,0.2904227770195541,0.0037367833987419336,3,True,False
log_loss,F_I,utility,A,civilian_at_work,,utility,development_evaluation_person_weighted,3,3,True,0.2665321794454378,0.014430301306218642,0.2665321794454378,0.014430301306218642,3,True,False
log_loss,F_I,utility,B,public_coverage,,utility,validation,3,3,True,0.4949285605516079,0.006970700410821955,0.4949285605516079,0.006970700410821955,3,True,False
log_loss,F_I,utility,B,public_coverage,,utility,development_evaluation,3,3,True,0.5149687744893877,0.01077181802257925,0.5149687744893877,0.01077181802257925,3,True,False
log_loss,F_I,utility,B,public_coverage,,utility,validation_person_weighted,3,3,True,0.5087006066998239,0.008723576412703469,0.5087006066998239,0.008723576412703469,3,True,False
log_loss,F_I,utility,B,public_coverage,,utility,development_evaluation_person_weighted,3,3,True,0.5252879369987704,0.007727218651762275,0.5252879369987704,0.007727218651762275,3,True,False
log_loss,F_I,utility,A,same_residence,,utility,validation,3,3,True,0.5216127478596431,0.01383267873357677,0.5216127478596431,0.01383267873357677,3,True,False
log_loss,F_I,utility,A,same_residence,,utility,development_evaluation,3,3,True,0.5116326074476466,0.012463355356177163,0.5116326074476466,0.012463355356177163,3,True,False
log_loss,F_I,utility,A,same_residence,,utility,validation_person_weighted,3,3,True,0.4976777786205154,0.019266378591712704,0.4976777786205154,0.019266378591712704,3,True,False
log_loss,F_I,utility,A,same_residence,,utility,development_evaluation_person_weighted,3,3,True,0.48905083432150764,0.012109579884899973,0.48905083432150764,0.012109579884899973,3,True,False
log_loss,F_I,utility,B,commute_over20,,utility,validation,3,3,True,0.6904983194517076,0.0003307636231145338,0.6904983194517076,0.0003307636231145338,3,True,False
log_loss,F_I,utility,B,commute_over20,,utility,development_evaluation,3,3,True,0.6904936965519084,0.001369372029826504,0.6904936965519084,0.001369372029826504,3,True,False
