release,role,target,audit_budget,selector,split,metric,n_seeds,n_defined,complete,mean,sample_sd
R_rho0p1_D,audit,RAC1P,120,primary,development_evaluation,log_loss,3,3,True,1.2100186866394531,0.018828092731698512
R_rho0p1_D,audit,RAC1P,120,primary,development_evaluation,signed_prior_relative_gain,3,3,True,0.08002396252461226,0.007493667693185814
R_rho0p1_D,audit,RAC1P,120,primary,validation_person_weighted,log_loss,3,3,True,1.213387418633227,0.011290441476857949
R_rho0p1_D,audit,RAC1P,120,primary,validation_person_weighted,signed_prior_relative_gain,3,3,True,0.07131731349000996,0.012766841330308221
R_rho0p1_D,audit,RAC1P,120,primary,development_evaluation_person_weighted,log_loss,3,3,True,1.2107026910955132,0.0365929193129411
R_rho0p1_D,audit,RAC1P,120,primary,development_evaluation_person_weighted,signed_prior_relative_gain,3,3,True,0.07653923092336405,0.004631403909714176
R_rho0p1_D,audit,SEX,120,pooled,validation,log_loss,3,3,True,0.6561773505520854,0.007340527543840555
R_rho0p1_D,audit,SEX,120,pooled,validation,signed_prior_relative_gain,3,3,True,0.03621026801473629,0.0077040124263056415
R_rho0p1_D,audit,SEX,120,pooled,development_evaluation,log_loss,3,3,True,0.6582284206762091,0.002700359231055731
R_rho0p1_D,audit,SEX,120,pooled,development_evaluation,signed_prior_relative_gain,3,3,True,0.03445828308045751,0.002226096964368476
R_rho0p1_D,audit,SEX,120,pooled,validation_person_weighted,log_loss,3,3,True,0.657674689824526,0.012972871400154037
R_rho0p1_D,audit,SEX,120,pooled,validation_person_weighted,signed_prior_relative_gain,3,3,True,0.03465032349732541,0.012986839603673412
R_rho0p1_D,audit,SEX,120,pooled,development_evaluation_person_weighted,log_loss,3,3,True,0.6611612543003338,0.0011472859976804542
R_rho0p1_D,audit,SEX,120,pooled,development_evaluation_person_weighted,signed_prior_relative_gain,3,3,True,0.030952168519654138,0.0017986279704223784
R_rho0p1_D,audit,RAC1P,120,pooled,validation,log_loss,3,3,True,1.2082288391830183,0.010159792812803782
R_rho0p1_D,audit,RAC1P,120,pooled,validation,signed_prior_relative_gain,3,3,True,0.07526821414170426,0.015247116901485103
R_rho0p1_D,audit,RAC1P,120,pooled,development_evaluation,log_loss,3,3,True,1.2100186866394531,0.018828092731698512
R_rho0p1_D,audit,RAC1P,120,pooled,development_evaluation,signed_prior_relative_gain,3,3,True,0.08002396252461226,0.007493667693185814
R_rho0p1_D,audit,RAC1P,120,pooled,validation_person_weighted,log_loss,3,3,True,1.213387418633227,0.011290441476857949
R_rho0p1_D,audit,RAC1P,120,pooled,validation_person_weighted,signed_prior_relative_gain,3,3,True,0.07131731349000996,0.012766841330308221
R_rho0p1_D,audit,RAC1P,120,pooled,development_evaluation_person_weighted,log_loss,3,3,True,1.2107026910955132,0.0365929193129411
R_rho0p1_D,audit,RAC1P,120,pooled,development_evaluation_person_weighted,signed_prior_relative_gain,3,3,True,0.07653923092336405,0.004631403909714176
